               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.027608,            0.042731,            0.022877,             0.49218,             0.49842,             0.50367,              0.3323,            0.030163,            0.044222,            0.027218,           0.0077824,           0.0077824,           0.0077824
                 114,             0.02914,            0.040055,            0.024327,              0.4715,             0.50739,             0.46079,             0.29879,            0.031356,            0.045148,            0.027516,           0.0077626,           0.0077626,           0.0077626
                 115,            0.026005,            0.039242,            0.022169,             0.86157,             0.30973,             0.45967,             0.30814,            0.033469,            0.045565,            0.027937,           0.0077428,           0.0077428,           0.0077428
                 116,            0.027254,            0.038763,            0.025895,             0.61732,             0.43411,             0.46249,             0.31858,            0.030085,            0.045931,            0.027644,            0.007723,            0.007723,            0.007723
                 117,            0.027375,            0.041769,            0.022975,             0.86083,             0.31733,             0.45233,             0.29677,             0.03666,            0.046743,            0.027787,           0.0077032,           0.0077032,           0.0077032
                 118,            0.027385,            0.043799,            0.021755,             0.88421,              0.3232,             0.45246,             0.30828,            0.031141,            0.045476,            0.027468,           0.0076834,           0.0076834,           0.0076834
                 119,            0.029121,            0.045979,            0.024032,             0.85558,             0.31669,             0.43073,             0.27684,            0.034093,             0.04532,            0.027453,           0.0076636,           0.0076636,           0.0076636
                 120,            0.026549,            0.040959,            0.021644,             0.85334,             0.31868,             0.43394,             0.30062,            0.031096,            0.044893,            0.027039,           0.0076438,           0.0076438,           0.0076438
                 121,            0.026385,            0.040097,            0.023318,             0.70045,             0.38136,             0.45198,             0.31169,            0.031167,            0.045772,            0.026785,            0.007624,            0.007624,            0.007624
                 122,            0.027276,            0.041887,            0.023281,             0.70225,             0.37764,             0.45826,             0.30189,            0.032265,            0.047551,            0.026543,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024845,            0.042134,            0.023003,             0.73963,             0.39135,             0.50187,             0.32735,            0.030928,            0.046758,            0.026294,           0.0075844,           0.0075844,           0.0075844
